,Latitud,Longitud,LST_Day_1km,date
0,21.11047,-88.71073,15213,20210920
1,21.11047,-88.71073,15001,20210925
2,21.11047,-88.71073,15031,20210927
3,21.11047,-88.71073,15167,20210929
4,21.11047,-88.71073,15078,20211001
5,21.11047,-88.71073,14882,20211002
6,21.11047,-88.71073,15108,20211004
7,21.11047,-88.71073,15065,20211006
8,21.11047,-88.71073,14977,20211009
9,21.11047,-88.71073,15123,20211010
10,21.11047,-88.71073,15142,20211012
11,21.11047,-88.71073,15169,20211013
12,21.11047,-88.71073,14988,20211018
13,21.11047,-88.71073,15024,20211025
14,21.11047,-88.71073,14989,20211028
15,21.11047,-88.71073,14948,20211029
16,21.11047,-88.71073,14976,20211030
17,21.11047,-88.71073,15075,20211031
18,21.11047,-88.71073,15109,20211102
19,21.11047,-88.71073,15040,20211103
20,21.11047,-88.71073,14963,20211105
21,21.11047,-88.71073,15055,20211110
22,21.11047,-88.71073,15088,20211111
23,21.11047,-88.71073,14975,20211114
24,21.11047,-88.71073,14893,20211115
25,21.11047,-88.71073,15115,20211116
26,21.11047,-88.71073,14948,20211119
27,21.11047,-88.71073,14969,20211123
28,21.11047,-88.71073,15106,20211125
29,21.11047,-88.71073,15000,20211126
30,21.11047,-88.71073,15084,20211127
31,21.11047,-88.71073,14876,20211128
32,21.11047,-88.71073,14962,20211201
33,21.11047,-88.71073,15072,20211204
34,21.11047,-88.71073,15133,20211205
35,21.11047,-88.71073,15049,20211207
36,21.11047,-88.71073,14934,20211208
37,21.11047,-88.71073,15114,20211209
38,21.11047,-88.71073,15084,20211215
39,21.11047,-88.71073,15077,20211218
40,21.11047,-88.71073,14961,20211223
41,21.11047,-88.71073,14960,20211224
42,21.11047,-88.71073,15120,20211225
43,21.11047,-88.71073,15056,20211228
44,21.11047,-88.71073,15265,20220101
45,21.11047,-88.71073,14907,20220105
46,21.11047,-88.71073,14945,20220110
47,21.11047,-88.71073,15070,20220114
48,21.11047,-88.71073,15128,20220115
49,21.11047,-88.71073,14930,20220118
50,21.11047,-88.71073,15148,20220119
51,21.11047,-88.71073,15101,20220124
52,21.11047,-88.71073,14918,20220130
53,21.11047,-88.71073,14977,20220131
54,21.11047,-88.71073,15121,20220202
55,21.11047,-88.71073,15259,20220204
56,21.11047,-88.71073,15188,20220220
57,21.11047,-88.71073,15037,20220221
58,21.11047,-88.71073,15212,20220222
59,21.11047,-88.71073,15057,20220224
60,21.11047,-88.71073,15008,20220301
61,21.11047,-88.71073,15126,20220303
62,21.11047,-88.71073,15130,20220304
63,21.11047,-88.71073,15035,20220305
64,21.11047,-88.71073,15251,20220310
65,21.11047,-88.71073,15267,20220311
66,21.11047,-88.71073,15118,20220314
67,21.11047,-88.71073,15257,20220315
68,21.11047,-88.71073,15055,20220317
69,21.11047,-88.71073,15229,20220320
70,21.11047,-88.71073,15134,20220321
71,21.11047,-88.71073,15379,20220322
72,21.11047,-88.71073,15218,20220323
73,21.11047,-88.71073,15077,20220325
74,21.11047,-88.71073,15219,20220326
75,21.11047,-88.71073,15255,20220327
76,21.11047,-88.71073,15331,20220328
77,21.11047,-88.71073,15316,20220329
78,21.11047,-88.71073,15499,20220331
79,21.11047,-88.71073,15528,20220402
80,21.11047,-88.71073,15414,20220403
81,21.11047,-88.71073,15454,20220404
82,21.11047,-88.71073,15438,20220405
83,21.11047,-88.71073,15335,20220406
84,21.11047,-88.71073,15472,20220407
85,21.11047,-88.71073,15368,20220409
86,21.11047,-88.71073,15539,20220411
87,21.11047,-88.71073,15366,20220413
88,21.11047,-88.71073,15415,20220414
89,21.11047,-88.71073,15641,20220416
90,21.11047,-88.71073,15653,20220418
91,21.11047,-88.71073,15359,20220420
92,21.11047,-88.71073,15169,20220423
93,21.11047,-88.71073,15515,20220425
94,21.11047,-88.71073,15215,20220428
95,21.11047,-88.71073,15299,20220429
96,21.11047,-88.71073,15240,20220504
97,21.11047,-88.71073,15326,20220507
98,21.11047,-88.71073,15394,20220508
99,21.11047,-88.71073,15384,20220509
100,21.11047,-88.71073,15211,20220510
101,21.11047,-88.71073,15268,20220511
102,21.11047,-88.71073,15272,20220512
103,21.11047,-88.71073,15391,20220514
104,21.11047,-88.71073,15458,20220515
105,21.11047,-88.71073,15553,20220516
106,21.11047,-88.71073,15392,20220517
107,21.11047,-88.71073,15591,20220520
108,21.11047,-88.71073,15304,20220605
109,21.11047,-88.71073,15129,20220610
110,21.11047,-88.71073,15098,20220611
111,21.11047,-88.71073,15218,20220612
112,21.11047,-88.71073,15314,20220614
113,21.11047,-88.71073,15046,20220619
114,21.11047,-88.71073,15162,20220621
115,21.11047,-88.71073,15288,20220623
116,21.11047,-88.71073,15122,20220626
117,21.11047,-88.71073,15174,20220630
118,21.11047,-88.71073,15157,20220702
119,21.11047,-88.71073,15107,20220703
120,21.11047,-88.71073,14913,20220705
121,21.11047,-88.71073,15217,20220707
122,21.11047,-88.71073,15151,20220709
123,21.11047,-88.71073,15101,20220710
124,21.11047,-88.71073,15295,20220716
125,21.11047,-88.71073,15286,20220721
126,21.11047,-88.71073,15167,20220725
127,21.11047,-88.71073,15094,20220730
128,21.11047,-88.71073,15216,20220801
129,21.11047,-88.71073,15123,20220803
130,21.11047,-88.71073,15076,20220804
131,21.11047,-88.71073,15156,20220806
132,21.11047,-88.71073,15062,20220808
133,21.11047,-88.71073,15074,20220812
134,21.11047,-88.71073,14999,20220813
135,21.11047,-88.71073,15000,20220814
136,21.11047,-88.71073,15034,20220815
137,21.11047,-88.71073,15218,20220817
138,21.11047,-88.71073,15012,20220820
139,21.11047,-88.71073,15082,20220822
140,21.11047,-88.71073,15130,20220824
141,21.11047,-88.71073,14984,20220829
142,21.11047,-88.71073,15150,20220907
143,21.11047,-88.71073,15083,20220914
144,21.11047,-88.71073,14998,20220916
145,21.11047,-88.71073,15055,20220923
146,21.11047,-88.71073,15098,20220925
147,21.11047,-88.71073,14915,20220926
148,21.11047,-88.71073,14961,20220928
149,21.11047,-88.71073,14932,20220930
150,21.11047,-88.71073,15116,20221002
151,21.11047,-88.71073,15127,20221004
152,21.11047,-88.71073,15096,20221005
153,21.11047,-88.71073,15144,20221006
154,21.11047,-88.71073,15151,20221007
155,21.11047,-88.71073,15050,20221025
156,21.11047,-88.71073,15033,20221026
157,21.11047,-88.71073,14997,20221027
158,21.11047,-88.71073,14975,20221028
