,Latitud,Longitud
2014,21.28186,-88.52294
2015,21.28964,-88.51748
2016,21.26559,-88.51768
2017,21.26222,-88.50976
2018,21.25288,-88.52681
2019,21.26206,-88.52674
2020,21.24806,-88.52711
2021,21.32075,-88.93852
2022,21.33765,-88.9043
2023,21.30906,-88.8839
2024,21.30639,-88.9137
2025,21.23929,-88.65491
2026,20.96793,-87.757
2027,21.25809,-88.82978
2028,21.24861,-88.83682
2029,21.26528,-88.84196
2030,21.27818,-88.83689
2031,21.26152,-88.85645
2032,21.26641,-88.9036
2033,21.24869,-88.9053
2034,21.16056,-88.90073
2035,21.15937,-88.90591
2036,21.15109,-88.9234
2037,21.25807,-88.96053
2038,21.24635,-88.97142
2039,21.26274,-88.97782
2040,21.25446,-88.97789
2041,21.29403,-88.94873
2042,21.26562,-88.98997
2043,21.28901,-88.98636
2044,21.14199,-88.71954
2045,21.17392,-88.74931
2046,21.14421,-88.70593
2047,21.15841,-88.74049
2048,21.15898,-88.73084
2049,21.17075,-88.74288
2050,21.16543,-88.73648
2051,21.28498,-88.5978
2052,21.22729,-89.17799
2053,21.22025,-89.2123
2054,21.11965,-88.46906
2055,21.10049,-88.53458
2056,21.10543,-88.50959
2057,21.10344,-88.51072
2058,21.09913,-88.5265
2059,21.10957,-88.51014
2060,21.44382,-88.51397
2061,21.35003,-88.07801
2062,21.44792,-88.47782
2063,21.21623,-88.43466
2064,21.34308,-88.07177
2065,21.42143,-88.46724
2066,21.45465,-88.47819
2067,21.4627,-88.06042
2068,21.41306,-88.09528
2069,21.4449,-88.49426
2070,21.4755,-88.48867
2071,21.45205,-88.51978
2072,21.45276,-88.50422
2073,21.48068,-88.50204
2074,21.48444,-88.49549
2075,21.48735,-88.51057
2076,21.42618,-88.51706
2077,21.44539,-88.50637
2078,21.36846,-88.34142
2079,21.41948,-88.52237
2080,21.1585,-89.42645
2081,21.46347,-88.06957
2082,21.11383,-88.48432
2083,21.10227,-88.48875
2084,21.24532,-89.16646
2085,21.25397,-89.175
2086,21.21429,-89.17451
2087,21.09369,-88.2816
2088,21.11595,-88.25491
2089,21.33664,-88.3671
2090,21.22,-87.80843
2091,21.34146,-88.32722
2092,21.3994,-88.2806
2093,21.10963,-88.60814
2094,21.31765,-88.83195
2095,21.30401,-88.80946
2096,21.1551,-88.68078
2097,21.16364,-88.67254
2098,21.32514,-88.72411
2099,21.32156,-88.72885
2100,21.3171,-88.72952
2101,21.31895,-88.74263
2102,21.31667,-88.73776
2103,21.37154,-88.8959
2104,21.22064,-88.7283
2105,21.22621,-88.82934
2106,21.18049,-88.67189
2107,21.21711,-88.69763
2108,21.23288,-88.7758
2109,21.2651,-88.77027
2110,21.18889,-88.67549
2111,21.16094,-88.65026
2112,21.26122,-88.81901
2113,21.35547,-88.90599
2114,21.33613,-88.78323
2115,21.31918,-88.81369
2116,21.31981,-88.82236
2117,21.32009,-88.72269
2118,21.26716,-88.60195
2119,21.2387,-88.62579
2120,21.26009,-88.62834
2121,21.25091,-88.79289
2122,21.26072,-88.56332
2123,21.22804,-88.68664
2124,21.15287,-88.67216
2125,21.24582,-88.69479
2126,21.23196,-88.69422
2127,21.22572,-88.69158
2128,21.22019,-88.68753
2129,21.27888,-88.87541
2130,21.29376,-88.83228
2131,21.30838,-88.88851
2132,21.12812,-88.66579
2133,21.13039,-88.66115
2134,21.22624,-88.6658
2135,21.24194,-88.60876
2136,21.27955,-88.61665
2137,21.20231,-88.72105
2138,21.21733,-88.72502
2139,21.21382,-88.72839
2140,21.11526,-88.64618
2141,21.12405,-88.64901
2142,21.13051,-88.65113
2143,21.13488,-88.64676
2144,21.19133,-88.84025
2145,21.13019,-88.78713
2146,21.12832,-88.7888
2147,21.10774,-88.78566
2148,21.14599,-88.80927
2149,21.14488,-88.80189
2150,21.16957,-88.83551
2151,21.25336,-88.55531
2152,21.25525,-88.54076
2153,21.34637,-88.58813
2154,20.68975,-89.87968
2155,21.12585,-89.27776
2156,21.35777,-88.65978
2157,21.09695,-89.21964
2158,21.00248,-89.19663
2159,20.91152,-89.13772
